GeneSetID	Gene
GO:0006734	ENSG00000248746
GO:0006734	ENSG00000136872
GO:0006734	ENSG00000074800
GO:0006734	ENSG00000111674
GO:0006734	ENSG00000164916
GO:0006734	ENSG00000141568
GO:0006734	ENSG00000106633
GO:0006734	ENSG00000167588
GO:0006734	ENSG00000115159
GO:0006734	ENSG00000156515
GO:0006734	ENSG00000159399
GO:0006734	ENSG00000160883
GO:0006734	ENSG00000101365
GO:0006734	ENSG00000138400
GO:0006734	ENSG00000146701
GO:0006734	ENSG00000181019
GO:0006734	ENSG00000112874
GO:0006734	ENSG00000166321
GO:0006734	ENSG00000186364
GO:0006734	ENSG00000105953
GO:0006734	ENSG00000100889
GO:0006734	ENSG00000141959
GO:0006734	ENSG00000152556
GO:0006734	ENSG00000067057
GO:0006734	ENSG00000115840
GO:0006734	ENSG00000078237
GO:0006734	ENSG00000141510
GO:0006734	ENSG00000165280
GO:0008340	ENSG00000149311
GO:0008340	ENSG00000164430
GO:0008340	ENSG00000167186
GO:0008340	ENSG00000177628
GO:0008340	ENSG00000106128
GO:0008340	ENSG00000119912
GO:0008340	ENSG00000168918
GO:0008340	ENSG00000174697
GO:0008340	ENSG00000188906
GO:0008340	ENSG00000095002
GO:0008340	ENSG00000116062
GO:0008340	ENSG00000116731
GO:0008340	ENSG00000197275
GO:0008340	ENSG00000085999
GO:0008340	ENSG00000115112
GO:0008340	ENSG00000141510
GO:0008340	ENSG00000084073
GO:0014854	ENSG00000248746
GO:0014854	ENSG00000143318
GO:0014854	ENSG00000121691
GO:0014854	ENSG00000173402
GO:0014854	ENSG00000149295
GO:0014854	ENSG00000156804
GO:0014854	ENSG00000068024
GO:0014854	ENSG00000136634
GO:0014854	ENSG00000122180
GO:0014854	ENSG00000121879
GO:0014854	ENSG00000183873
GO:0014854	ENSG00000108823
GO:0019081	ENSG00000145782
GO:0019081	ENSG00000057663
GO:0019081	ENSG00000009307
GO:0019081	ENSG00000139726
GO:0019081	ENSG00000135829
GO:0019081	ENSG00000128829
GO:0019081	ENSG00000143486
GO:0019081	ENSG00000107581
GO:0019081	ENSG00000106263
GO:0019081	ENSG00000100353
GO:0019081	ENSG00000175390
GO:0019081	ENSG00000130811
GO:0019081	ENSG00000100129
GO:0019081	ENSG00000232119
GO:0019081	ENSG00000197111
GO:0019081	ENSG00000011304
GO:0019081	ENSG00000130813
GO:0019081	ENSG00000138385
GO:0019835	ENSG00000106804
GO:0019835	ENSG00000039537
GO:0019835	ENSG00000112936
GO:0019835	ENSG00000157131
GO:0019835	ENSG00000021852
GO:0019835	ENSG00000176919
GO:0019835	ENSG00000113600
GO:0019835	ENSG00000203710
GO:0019835	ENSG00000073605
GO:0019835	ENSG00000145649
GO:0019835	ENSG00000100453
GO:0019835	ENSG00000100450
GO:0019835	ENSG00000197540
GO:0019835	ENSG00000129988
GO:0019835	ENSG00000090382
GO:0019835	ENSG00000275722
GO:0019835	ENSG00000204520
GO:0019835	ENSG00000204516
GO:0019835	ENSG00000108960
GO:0019835	ENSG00000131669
GO:0019835	ENSG00000188257
GO:0019835	ENSG00000180644
GO:0019835	ENSG00000155876
GO:0019835	ENSG00000105329
